LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
BOUTIQUE160 GRAN PATIO CHALCOROPAPLAYERA,BOUTIQUE,160 GRAN PATIO CHALCO,ROPA,PLAYERA,70,18268.97,8276
BOUTIQUE154 METROBUS CHILPANCINGOROPASUDADERA,BOUTIQUE,154 METROBUS CHILPANCINGO,ROPA,SUDADERA,7,1192.24,1729
BOUTIQUE156 TOWN CENTER EL ROSARIOROPAPLAYERA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ROPA,PLAYERA,135,36532.98,16235
BOUTIQUE128 TEXCOCOROPASUDADERA,BOUTIQUE,128 TEXCOCO,ROPA,SUDADERA,40,19577.19,9150
BOUTIQUE172 COSMOPOLROPASUDADERA,BOUTIQUE,172 COSMOPOL,ROPA,SUDADERA,99,54414.21,23188.5
BOUTIQUE128 TEXCOCOACCESORIOSPLANTILLA,BOUTIQUE,128 TEXCOCO,ACCESORIOS,PLANTILLA,44,1896.4,624.8
BOUTIQUE106 CONDESAACCESORIOSPERFUME,BOUTIQUE,106 CONDESA,ACCESORIOS,PERFUME,86,9079.45,3010
BOUTIQUE104 CENTROROPASUDADERA,BOUTIQUE,104 CENTRO,ROPA,SUDADERA,43,21592.81,9874.5
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOSLIMPIEZA,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,LIMPIEZA,70,9858.64,3121.22
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSPERFUME,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,PERFUME,157,16579.56,5495
BOUTIQUE130 TOLUCAROPASUDADERA,BOUTIQUE,130 TOLUCA,ROPA,SUDADERA,58,31949.69,14071
BOUTIQUE167 CENTRAM MARTIN CARRERAROPACHAMARRA,BOUTIQUE,167 CENTRAM MARTIN CARRERA,ROPA,CHAMARRA,24,12362.9,6488.12
BOUTIQUE157 PLAZA ERMITAACCESORIOSPERFUME,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,PERFUME,73,7703.56,2555
BOUTIQUE169 GRAN SURACCESORIOSBOLSA,BOUTIQUE,169 GRAN SUR,ACCESORIOS,BOLSA,315,16521.46,8884
BOUTIQUE127 TENAYUCAACCESORIOSPLANTILLA,BOUTIQUE,127 TENAYUCA,ACCESORIOS,PLANTILLA,24,1025.78,340.8
BOUTIQUE127 TENAYUCAACCESORIOSBOLSA,BOUTIQUE,127 TENAYUCA,ACCESORIOS,BOLSA,301,10776.19,7729.65
BOUTIQUE101 ARAGONACCESORIOSPERFUME,BOUTIQUE,101 ARAGON,ACCESORIOS,PERFUME,100,10441.54,3500
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSPLANTILLA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,PLANTILLA,73,3068.72,1036.6
BOUTIQUE117 MIXCOACROPASUDADERA,BOUTIQUE,117 MIXCOAC,ROPA,SUDADERA,106,56154.17,24816
BOUTIQUE157 PLAZA ERMITAROPAPLAYERA,BOUTIQUE,157 PLAZA ERMITA,ROPA,PLAYERA,87,24866.97,10256
